School,State Overall Score,Better Education Percentile,English,Maths,Total Enrolments,Trend / Compare,Locality,Sector,SES
"Our Lady Help of Christians Catholic Primary School,Epping,NSW,2121",99,3%,5,5,90,Trend / Compare,"Epping,NSW,2121",Non-government,96
"Italian Bilingual School,Meadowbank,NSW,2114",99,3%,5,5,110,Trend / Compare,"Meadowbank,NSW,2114",Non-government,95
"Eastwood Public School,Eastwood,NSW,2122",99,3%,5,5,870,Trend / Compare,"Eastwood,NSW,2122",Government,95
"Lane Cove Public School,Lane Cove,NSW,2066",99,3%,5,5,770,Trend / Compare,"Lane Cove,NSW,2066",Government,96
"Epping Heights Public School,Epping,NSW,2121",99,3%,5,5,510,Trend / Compare,"Epping,NSW,2121",Government,96
"Warrawee Public School,Turramurra,NSW,2074",99,3%,5,5,720,Trend / Compare,"Turramurra,NSW,2074",Government,96
"Pymble Public School,Pymble,NSW,2073",99,3%,5,5,590,Trend / Compare,"Pymble,NSW,2073",Government,96
"Summer Hill Public School,Summer Hill,NSW,2130",99,3%,5,5,640,Trend / Compare,"Summer Hill,NSW,2130",Government,96
"Sydney Distance Education Primary School,Surry Hills,NSW,2010",99,3%,5,5,280,Trend / Compare,"Surry Hills,NSW,2010",Non-government,95
"Kent Road Public School,Eastwood,NSW,2122",99,3%,5,5,890,Trend / Compare,"Eastwood,NSW,2122",Government,96
"Montessori East,Bondi,NSW,2026",99,3%,5,5,90,Trend / Compare,"Bondi,NSW,2026",Non-government,97
"Balmain Public School,Balmain,NSW,2041",99,3%,5,5,360,Trend / Compare,"Balmain,NSW,2041",Government,96
"Neutral Bay Public School,Neutral Bay,NSW,2089",99,3%,5,5,820,Trend / Compare,"Neutral Bay,NSW,2089",Government,96
"St Andrew's Cathedral School,Sydney,NSW,2000",99,3%,5,5,1410,Trend / Compare,"Sydney,NSW,2000",Non-government,97
"Danebank School,Hurstville,NSW,2220",99,3%,5,5,980,Trend / Compare,"Hurstville,NSW,2220",Non-government,96
"Sacred Heart Catholic Primary School,Mosman,NSW,2088",99,3%,5,5,380,Trend / Compare,"Mosman,NSW,2088",Non-government,96
"West Pymble Public School,West Pymble,NSW,2073",99,3%,5,5,310,Trend / Compare,"West Pymble,NSW,2073",Government,96
"Trinity Grammar School,Summer Hill,NSW,2130",99,3%,5,5,2210,Trend / Compare,"Summer Hill,NSW,2130",Non-government,96
"Barker College,Hornsby,NSW,2077",99,3%,5,5,2770,Trend / Compare,"Hornsby,NSW,2077",Non-government,96
"Girraween Public School,Girraween,NSW,2145",99,3%,5,5,1230,Trend / Compare,"Girraween,NSW,2145",Government,95
"Eastwood Heights Public School,Eastwood,NSW,2122",99,3%,5,5,480,Trend / Compare,"Eastwood,NSW,2122",Government,95
"Lindfield Public School,Lindfield,NSW,2070",99,3%,5,5,750,Trend / Compare,"Lindfield,NSW,2070",Government,96
"Northside Montessori School,Pymble,NSW,2073",99,3%,5,5,120,Trend / Compare,"Pymble,NSW,2073",Non-government,95
"Newington College,Stanmore,NSW,2048",99,3%,5,5,2030,Trend / Compare,"Stanmore,NSW,2048",Non-government,97
"Killara Public School,Killara,NSW,2071",99,4%,5,5,370,Trend / Compare,"Killara,NSW,2071",Government,96
"Pennant Hills Public School,Pennant Hills,NSW,2120",99,4%,5,5,590,Trend / Compare,"Pennant Hills,NSW,2120",Government,96
"Ironbark Ridge Public School,Rouse Hill,NSW,2155",99,4%,5,5,920,Trend / Compare,"Rouse Hill,NSW,2155",Government,95
"St George Christian School,Hurstville,NSW,2220",99,4%,5,5,810,Trend / Compare,"Hurstville,NSW,2220",Non-government,96
"West Ryde Public School,West Ryde,NSW,2114",99,4%,5,5,600,Trend / Compare,"West Ryde,NSW,2114",Government,95
"Hurstville Adventist School,Hurstville,NSW,2220",99,4%,5,5,180,Trend / Compare,"Hurstville,NSW,2220",non-government,95
"Sacred Heart Catholic Primary School,Villawood,NSW,2163",99,4%,5,5,240,Trend / Compare,"Villawood,NSW,2163",Non-government,96
"Turramurra Public School,Turramurra,NSW,2074",99,4%,5,5,570,Trend / Compare,"Turramurra,NSW,2074",Government,96
"Denistone East Public School,Eastwood,NSW,2122",99,4%,5,5,770,Trend / Compare,"Eastwood,NSW,2122",Government,95
"Macarthur Anglican School,Cobbitty,NSW,2570",99,4%,5,5,1000,Trend / Compare,"Cobbitty,NSW,2570",Non-government,95
"Our Lady of The Rosary Catholic Primary School,Kensington,NSW,2033",99,4%,5,5,430,Trend / Compare,"Kensington,NSW,2033",Non-government,96
"Ashfield Public School,Ashfield,NSW,2131",99,4%,5,5,480,Trend / Compare,"Ashfield,NSW,2131",Government,95
"Our Lady of Dolours Catholic Primary School,Chatswood,NSW,2067",99,4%,5,5,340,Trend / Compare,"Chatswood,NSW,2067",Non-government,96
"Tangara School for Girls,Cherrybrook,NSW,2126",99,4%,5,5,730,Trend / Compare,"Cherrybrook,NSW,2126",Non-government,95
"Redlands,Cremorne,NSW,2090",99,4%,5,5,1650,Trend / Compare,"Redlands,Cremorne,NSW,2090",Non-government,97
"Our Lady of the Sacred Heart School,Randwick,NSW,2031",99,4%,5,5,460,Trend / Compare,"Randwick,NSW,2031",Non-government,96
"Montgrove College,Orchard Hills,NSW,2748",98,4%,5,5,580,Trend / Compare,"Orchard Hills,NSW,2748",Non-government,95
"Our Lady of Mount Carmel School,Bonnyrigg,NSW,2177",98,4%,5,5,800,Trend / Compare,"Bonnyrigg,NSW,2177",Non-government,68
"Gordon West Public School,Pymble,NSW,2073",98,4%,5,5,520,Trend / Compare,"Pymble,NSW,2073",Government,96
"Sydney Japanese International School,Terrey Hills,NSW,2084",98,4%,5,5,230,Trend / Compare,"Terrey Hills,NSW,2084",Non-government,95
"William Clarke College,Kellyville,NSW,2155",98,4%,5,5,1840,Trend / Compare,"Kellyville,NSW,2155",Non-government,96
"Our Lady of the Rosary Catholic Primary School,Waitara,NSW,2077",98,4%,5,5,340,Trend / Compare,"Waitara,NSW,2077",Non-government,96
"The Scots College,Bellevue Hill,NSW,2023",98,5%,5,5,2090,Trend / Compare,"Bellevue Hill,NSW,2023",Non-government,96
"Glenhaven Public School,Glenhaven,NSW,2156",98,5%,5,5,360,Trend / Compare,"Glenhaven,NSW,2156",Government,93
"Gordon East Public School,Gordon,NSW,2072",98,5%,5,5,310,Trend / Compare,"Gordon,NSW,2072",Government,97
"St Aloysius Catholic Primary School,Cronulla,NSW,2230",98,5%,5,5,180,Trend / Compare,"Cronulla,NSW,2230",Non-government,95
"Tara Anglican School for Girls,North Parramatta,NSW,2151",98,5%,5,5,800,Trend / Compare,"North Parramatta,NSW,2151",Non-government,96
"Castle Cove Public School,Castle Cove,NSW,2069",98,5%,5,5,370,Trend / Compare,"Castle Cove,NSW,2069",Government,96
"Mosman Church of England Preparatory School,Mosman,NSW,2088",98,5%,5,5,200,Trend / Compare,"Mosman,NSW,2088",Non-government,97
"Loreto Kirribilli,Kirribilli,NSW,2061",98,5%,5,5,1160,Trend / Compare,"Kirribilli,NSW,2061",Non-government,97
"St Kevin's Catholic Primary School,Eastwood,NSW,2122",98,5%,5,5,370,Trend / Compare,"Eastwood,NSW,2122",Non-government,95
"MLC School,Burwood,NSW,2134",98,5%,5,5,1310,Trend / Compare,"Burwood,NSW,2134",Non-government,96
"Holy Cross Catholic Primary School,Woollahra,NSW,2022",98,5%,5,5,210,Trend / Compare,"Woollahra,NSW,2022",Non-government,96
"Wahroonga Adventist School,Wahroonga,NSW,2076",98,5%,5,5,600,Trend / Compare,"Wahroonga,NSW,2076",Non-government,96
"Roselea Public School,Carlingford,NSW,2118",98,5%,5,5,320,Trend / Compare,"Carlingford,NSW,2118",Government,95
"Rose Bay Public School,Rose Bay,NSW,2029",98,5%,5,5,470,Trend / Compare,"Rose Bay,NSW,2029",Government,96
"Dural Public School,Dural,NSW,2158",98,5%,5,5,370,Trend / Compare,"Dural,NSW,2158",Government,95
"Queenwood,Mosman,NSW,2088",98,5%,5,5,870,Trend / Compare,"Mosman,NSW,2088",Non-government,96
"Redfield College,Dural,NSW,2158",98,5%,5,5,470,Trend / Compare,"Dural,NSW,2158",Non-government,95
"Mowbray Public School,Lane Cove,NSW,2066",98,5%,5,5,680,Trend / Compare,"Lane Cove,NSW,2066",Government,96
"Oatley Public School,Oatley,NSW,2223",98,5%,5,5,460,Trend / Compare,"Oatley,NSW,2223",Government,95
"St Anthony's Catholic Primary School,Marsfield,NSW,2122",98,5%,5,5,250,Trend / Compare,"Marsfield,NSW,2122",Non-government,95
"Wenona School,North Sydney,NSW,2060",98,5%,5,5,1310,Trend / Compare,"North Sydney,NSW,2060",Non-government,97
"Normanhurst Public School,Normanhurst,NSW,2076",98,5%,5,5,390,Trend / Compare,"Normanhurst,NSW,2076",Government,96
"Holy Family Catholic Primary School,Lindfield,NSW,2070",98,5%,5,5,220,Trend / Compare,"Lindfield,NSW,2070",Non-government,97
"Oatley West Public School,Oatley,NSW,2223",98,6%,5,5,550,Trend / Compare,"Oatley,NSW,2223",Government,95
"SCEGGS Darlinghurst,Darlinghurst,NSW,2010",98,6%,5,5,940,Trend / Compare,"Darlinghurst,NSW,2010",Non-government,97
"Holsworthy Public School,Holsworthy,NSW,2173",98,6%,5,5,630,Trend / Compare,"Holsworthy,NSW,2173",Government,94
"North Ryde Public School,North Ryde,NSW,2113",98,6%,5,5,370,Trend / Compare,"North Ryde,NSW,2113",Government,95
"Al Noori Muslim School,Greenacre,NSW,2190",98,6%,5,4,2180,Trend / Compare,"Greenacre,NSW,2190",Non-government,90
"Randwick Public School,Randwick,NSW,2031",98,6%,5,5,970,Trend / Compare,"Randwick,NSW,2031",Government,96
"Picnic Point Public School,Picnic Point,NSW,2213",98,6%,5,5,400,Trend / Compare,"Picnic Point,NSW,2213",Government,95
"St Thomas' Catholic Primary School,Willoughby,NSW,2068",98,6%,5,5,370,Trend / Compare,"Willoughby,NSW,2068",Non-government,96
"The Hills Grammar School,Kenthurst,NSW,2156",98,6%,5,5,1010,Trend / Compare,"Kenthurst,NSW,2156",Non-government,96
"Pacific Hills Christian School,Dural,NSW,2158",98,6%,5,5,1330,Trend / Compare,"Dural,NSW,2158",Non-government,95
"Haberfield Public School,Haberfield,NSW,2045",98,6%,5,5,620,Trend / Compare,"Haberfield,NSW,2045",Government,95
"St Catherine's School,Waverley,NSW,2024",98,6%,5,5,1040,Trend / Compare,"Waverley,NSW,2024",Non-government,96
"Wahroonga Public School,Wahroonga,NSW,2076",98,6%,5,5,640,Trend / Compare,"Wahroonga,NSW,2076",Government,96
"Presbyterian Ladies' College Sydney,Croydon,NSW,2132",98,6%,5,5,1440,Trend / Compare,"Croydon,NSW,2132",Non-government,96
"The King's School,North Parramatta,NSW,2151",98,6%,5,5,2140,Trend / Compare,"North Parramatta,NSW,2151",Non-government,96
"Masada College,St Ives,NSW,2075",98,6%,5,5,400,Trend / Compare,"St Ives,NSW,2075",Non-government,96
"St Michael's Catholic Primary School,Meadowbank,NSW,2114",98,6%,5,5,380,Trend / Compare,"Meadowbank,NSW,2114",Non-government,95
"Our Lady Queen of Peace School,Gladesville,NSW,2111",98,6%,5,5,150,Trend / Compare,"Gladesville,NSW,2111",Non-government,95
"Dobroyd Point Public School,Haberfield,NSW,2045",98,6%,5,5,180,Trend / Compare,"Haberfield,NSW,2045",Government,96
"North Sydney Public School,Waverton,NSW,2060",98,6%,5,5,770,Trend / Compare,"Waverton,NSW,2060",Government,96
"Kincoppal - Rose Bay School of the Sacred Heart,Rose Bay,NSW,2029",98,6%,5,4,890,Trend / Compare,"Rose Bay,NSW,2029",Non-government,96
"St Rose Catholic Primary School,Collaroy Plateau,NSW,2097",98,7%,5,5,210,Trend / Compare,"Collaroy Plateau,NSW,2097",Non-government,95
"Sutherland Public School,Sutherland,NSW,2232",98,7%,5,5,320,Trend / Compare,"Sutherland,NSW,2232",Government,95
"Kellyville Public School,Kellyville,NSW,2155",98,7%,5,5,850,Trend / Compare,"Kellyville,NSW,2155",Government,95
"Middle Harbour Public School,Mosman,NSW,2088",98,7%,5,5,520,Trend / Compare,"Mosman,NSW,2088",Government,96
"Emanuel School,Randwick,NSW,2031",98,7%,5,5,850,Trend / Compare,"Randwick,NSW,2031",Non-government,97
"St Hurmizd Assyrian Primary School,Greenfield Park,NSW,2176",98,7%,5,4,660,Trend / Compare,"Greenfield Park,NSW,2176",Non-government,23
"Crestwood Public School,Baulkham Hills,NSW,2153",97,7%,5,5,710,Trend / Compare,"Baulkham Hills,NSW,2153",Government,95
"Mosman Public School,Mosman,NSW,2088",97,7%,5,5,590,Trend / Compare,"Mosman,NSW,2088",Government,96
"Burwood Public School,Burwood,NSW,2134",97,7%,5,5,520,Trend / Compare,"Burwood,NSW,2134",Government,91
"The International French School of Sydney,Maroubra,NSW,2035",97,7%,5,4,920,Trend / Compare,"Maroubra Junction,NSW,2035",non-government,96
"Mount Sinai College,Maroubra,NSW,2035",97,7%,5,5,300,Trend / Compare,"Maroubra,NSW,2035",Non-government,96
"Blessed Sacrament School,Clifton Gardens,NSW,2088",97,7%,5,5,110,Trend / Compare,"Clifton Gardens,NSW,2088",Non-government,96
"Seaforth Public School,Seaforth,NSW,2092",97,7%,5,5,450,Trend / Compare,"Seaforth,NSW,2092",Government,96
"St Ives Public School,St Ives,NSW,2075",97,7%,5,5,550,Trend / Compare,"St Ives,NSW,2075",Government,96
"Bronte Public School,Bronte,NSW,2024",97,7%,5,5,310,Trend / Compare,"Bronte,NSW,2024",Government,96
"Riverbank Public School,The Ponds,NSW,2769",97,7%,5,5,2080,Trend / Compare,"The Ponds,NSW,2769",Government,95
"Castle Hill Public School,Castle Hill,NSW,2154",97,7%,5,5,1110,Trend / Compare,"Castle Hill,NSW,2154",Government,95
"St Joseph's Catholic Primary School,Como,NSW,2226",97,7%,5,5,420,Trend / Compare,"Como,NSW,2226",Non-government,95
"Hornsby South Public School,Hornsby,NSW,2077",97,7%,5,5,570,Trend / Compare,"Hornsby,NSW,2077",Government,95
"Ryde Public School,Ryde,NSW,2112",97,7%,5,5,540,Trend / Compare,"Ryde,NSW,2112",Government,91
"St Brendan's Catholic Primary School,Annandale,NSW,2038",97,7%,5,5,180,Trend / Compare,"Annandale,NSW,2038",Non-government,96
"Turramurra North Public School,North Turramurra,NSW,2074",97,7%,5,5,230,Trend / Compare,"North Turramurra,NSW,2074",Government,96
"Al-Faisal College,Auburn,NSW,2144",97,8%,5,4,2190,Trend / Compare,"Auburn,NSW,2144",non-government,80
"St Michael's School,Lane Cove,NSW,2066",97,8%,5,5,530,Trend / Compare,"Lane Cove,NSW,2066",Non-government,97
"Earlwood Public School,Earlwood,NSW,2206",97,8%,5,5,640,Trend / Compare,"Earlwood,NSW,2206",Government,94
"Covenant Christian School,Belrose,NSW,2085",97,8%,5,5,920,Trend / Compare,"Belrose,NSW,2085",Non-government,96
"Anzac Park Public School,Cammeray,NSW,2062",97,8%,5,5,820,Trend / Compare,"Cammeray,NSW,2062",Government,96
"Northbridge Public School,Northbridge,NSW,2063",97,8%,5,5,480,Trend / Compare,"Northbridge,NSW,2063",Government,97
"Bellevue Hill Public School,Bellevue Hill,NSW,2023",97,8%,5,5,530,Trend / Compare,"Bellevue Hill,NSW,2023",Government,96
"St Declan's Catholic Primary School,Penshurst,NSW,2222",97,8%,5,5,460,Trend / Compare,"Penshurst,NSW,2222",Non-government,95
"Cammeray Public School,Cammeray,NSW,2062",97,8%,5,5,720,Trend / Compare,"Cammeray,NSW,2062",Government,96
"Erskineville Public School,Erskineville,NSW,2043",97,8%,5,5,360,Trend / Compare,"Erskineville,NSW,2043",Government,95
"Caddies Creek Public School,Glenwood,NSW,2768",97,8%,5,5,1010,Trend / Compare,"Glenwood,NSW,2768",Government,95
"Moriah College,Bondi Junction,NSW,2022",97,8%,5,5,1450,Trend / Compare,"Bondi Junction,NSW,2022",Non-government,96
"St Mary and St Joseph Primary School,Maroubra,NSW,2035",97,8%,5,5,380,Trend / Compare,"Maroubra Beach,NSW,2035",Non-government,95
"International Grammar School,Ultimo,NSW,2007",97,8%,5,5,1240,Trend / Compare,"Ultimo,NSW,2007",Non-government,96
"St Mark's Primary School,Drummoyne,NSW,2047",97,8%,5,4,310,Trend / Compare,"Drummoyne,NSW,2047",Non-government,96
"Willoughby Public School,Willoughby,NSW,2068",97,8%,5,5,940,Trend / Compare,"Willoughby,NSW,2068",Government,96
"Carlingford Public School,Carlingford,NSW,2118",97,8%,5,5,810,Trend / Compare,"Carlingford,NSW,2118",Government,95
"Jasper Road Public School,Baulkham Hills,NSW,2153",97,8%,5,5,860,Trend / Compare,"Baulkham Hills,NSW,2153",Government,95
"Nicholson Street Public School,Balmain East,NSW,2041",97,8%,5,5,100,Trend / Compare,"Balmain East,NSW,2041",Government,96
Our Lady of the Assumption Catholic Primary School,97,8%,5,5,430,Trend / Compare,"North Strathfield,NSW,2137",Non-government,96
"German International School Sydney,Terrey Hills,NSW,2084",97,9%,5,5,340,Trend / Compare,"Terrey Hills,NSW,2084",Non-government,96
"St Francis of Assisi Regional Catholic Primary School,Paddington,NSW,2021",97,9%,5,4,190,Trend / Compare,"Paddington,NSW,2021",Non-government,96
"Quakers Hill Public School,Quakers Hill,NSW,2763",97,9%,5,5,1100,Trend / Compare,"Quakers Hill,NSW,2763",Government,94
"Darlinghurst Public School,Potts Point,NSW,2011",97,9%,5,5,290,Trend / Compare,"Potts Point,NSW,2011",Government,96
"Newington Public School,Newington,NSW,2127",97,9%,5,5,750,Trend / Compare,"Newington,NSW,2127",Government,95
"St Ambrose' Primary School,Concord West,NSW,2138",97,9%,5,4,430,Trend / Compare,"Concord West,NSW,2138",Non-government,95
"Wilkins Public School,Marrickville,NSW,2204",97,9%,5,5,520,Trend / Compare,"Marrickville,NSW,2204",Government,95
"Balgowlah Heights Public School,Balgowlah,NSW,2093",97,9%,5,5,720,Trend / Compare,"Balgowlah,NSW,2093",Government,96
"St Anthony's Catholic Primary School,Clovelly,NSW,2031",97,9%,5,4,160,Trend / Compare,"Clovelly,NSW,2031",Non-government,96
"St Therese's Catholic Primary School,Denistone,NSW,2114",97,9%,5,4,140,Trend / Compare,"Denistone,NSW,2114",Non-government,95
"Truscott Street Public School,North Ryde,NSW,2113",97,9%,5,5,280,Trend / Compare,"North Ryde,NSW,2113",Government,95
"Al-Faisal College,Austral,NSW,2179",97,9%,5,4,1200,Trend / Compare,"Austral,NSW,2179",Non-government,87
"St Philip Neri Catholic Primary School,Northbridge,NSW,2063",97,9%,5,4,150,Trend / Compare,"Northbridge,NSW,2063",Non-government,97
"Glenmore Road Public School,Paddington,NSW,2021",97,9%,5,4,350,Trend / Compare,"Paddington,NSW,2021",Government,97
"Annandale North Public School,Annandale,NSW,2038",97,9%,5,4,400,Trend / Compare,"Annandale,NSW,2038",Government,96
"Kingswood Public School,Kingswood,NSW,2747",97,9%,5,5,560,Trend / Compare,"Kingswood,NSW,2747",Government,77
"Putney Public School,Ryde,NSW,2112",97,9%,5,5,450,Trend / Compare,"Ryde,NSW,2112",Government,95
"Thornleigh West Public School,Thornleigh,NSW,2120",97,9%,5,5,560,Trend / Compare,"Thornleigh,NSW,2120",Government,95
"Coogee Boys' Preparatory School,Randwick,NSW,2031",96,12%,5,5,130,Trend / Compare,"Randwick,NSW,2031",Non-government,96
"St Luke's Grammar School,Dee Why,NSW,2099",96,9%,5,5,1350,Trend / Compare,"Dee Why,NSW,2099",Non-government,96
"Baulkham Hills North Public School,Baulkham Hills,NSW,2153",96,9%,5,5,930,Trend / Compare,"Baulkham Hills,NSW,2153",Government,95
"Meadowbank Public School,Ryde,NSW,2112",96,9%,5,4,590,Trend / Compare,"Ryde,NSW,2112",Government,95
"St Angela's Primary School,Castle Hill,NSW,2154",96,9%,5,5,600,Trend / Compare,"Castle Hill,NSW,2154",Non-government,95
"Berowra Christian Community School,Berowra,NSW,2081",96,10%,5,5,70,Trend / Compare,"Berowra,NSW,2081",Non-government,95
"Inner Sydney Montessori School,Balmain,NSW,2041",96,10%,5,4,170,Trend / Compare,"Balmain,NSW,2041",Non-government,96
"Regina Coeli Catholic Primary School,Beverly Hills,NSW,2209",96,9%,5,5,580,Trend / Compare,"Beverly Hills,NSW,2209",Non-government,95
"Paddington Public School,Paddington,NSW,2021",96,10%,5,5,210,Trend / Compare,"Paddington,NSW,2021",Government,96
"St Bernadette's Primary School,Castle Hill,NSW,2154",96,10%,5,5,470,Trend / Compare,"Castle Hill,NSW,2154",Non-government,95
"Beauty Point Public School,Mosman,NSW,2088",96,10%,5,5,300,Trend / Compare,"Mosman,NSW,2088",Government,96
"Allambie Heights Public School,Allambie Heights,NSW,2100",96,10%,5,5,490,Trend / Compare,"Allambie Heights,NSW,2100",Government,95
"Greenwich Public School,Greenwich,NSW,2065",96,10%,5,4,470,Trend / Compare,"Greenwich,NSW,2065",Government,96
"Our Lady of The Annunciation Catholic Primary School,Pagewood,NSW,2035",96,10%,5,4,160,Trend / Compare,"Pagewood,NSW,2035",Non-government,88
"Rouse Hill Anglican College,Rouse Hill,NSW,2155",96,10%,5,4,1500,Trend / Compare,"Rouse Hill,NSW,2155",Non-government,95
"Lugarno Public School,Lugarno,NSW,2210",96,10%,5,5,260,Trend / Compare,"Lugarno,NSW,2210",Government,95
"Hunters Hill Public School,Hunters Hill,NSW,2110",96,10%,5,5,300,Trend / Compare,"Hunters Hill,NSW,2110",Government,96
"Drummoyne Public School,Drummoyne,NSW,2047",96,10%,5,4,540,Trend / Compare,"Drummoyne,NSW,2047",Government,96
"Leichhardt Public School,Leichhardt,NSW,2040",96,10%,5,4,670,Trend / Compare,"Leichhardt,NSW,2040",Government,95
"Parramatta Public School,Parramatta,NSW,2150",96,10%,5,4,840,Trend / Compare,"Parramatta,NSW,2150",Government,96
"Hornsby Heights Public School,Hornsby,NSW,2077",96,10%,5,5,440,Trend / Compare,"Hornsby,NSW,2077",Government,94
